text,label
"Got the purest crystal in the north side, no middleman",1
My new watch is so much better than the old one,0
"Price drop on crystal, limited stock available",1
Connect me with your stuff supplier in the east side,1
"Reliable crystal source, never been caught",1
My new tablet is so much better than the old one,0
My new guitar is so much better than the old one,0
Working on a math project for my class,0
Anyone want to join a machine learning study group?,0
Anyone want to join a photography study group?,0
Anyone recommend a good watch for math?,0
Attended a cooking workshop and learned so much,0
The weather in the suburbs has been beautiful lately,0
"Just moved to midtown, looking for friends",0
"Got the purest stash in uptown, no middleman",1
Connect me with your pack supplier in the suburbs,1
Connect me with your pack supplier in the north side,1
"Reliable crystal source, never been caught",1
"Running low on green, need a new connect",1
Anyone want to join a machine learning study group?,0
Found a great deal on a used laptop locally,0
"Can ship crystal overnight, encrypted payments only",1
Looking to score some green tonight in the north side,1
Found a great deal on a used camera locally,0
Looking to score some crystal tonight in midtown,1
"Reliable stuff source, never been caught",1
Volunteering at the local gym this Saturday,0
Working on a machine learning project for my class,0
Looking for study partners for photography exam next week,0
"Reliable crystal source, never been caught",1
My phone arrived today and it works perfectly,0
Looking for a plug to get some pills delivered tonight,1
"New shipment of white landed, first come first served",1
Just finished reading a great textbook about math,0
"New shipment of goods landed, first come first served",1
Looking to score some product tonight in the bay area,1
"Need green ASAP, anyone near downtown can deliver?",1
Found a great deal on a used phone locally,0
My new laptop is so much better than the old one,0
"Running low on pack, need a new connect",1
"Got the purest pack in the east side, no middleman",1
"Wholesale crystal available, bulk discounts",1
"Selling premium stuff, fast delivery guaranteed",1
Had an amazing steak at the new library downtown,0
"Price drop on crystal, limited stock available",1
Need advice on buying a new textbook for college,0
"My stuff guy just re-upped, quality stuff",1
"Price drop on crystal, limited stock available",1
"Reliable crystal source, never been caught",1
Moving goods across the border this weekend,1
The weather in the east side has been beautiful lately,0
"Selling my old phone on marketplace, barely used",0
Attended a math workshop and learned so much,0
My new camera is so much better than the old one,0
"Reliable pack source, never been caught",1
"Need product ASAP, anyone near the east side can deliver?",1
My new bicycle is so much better than the old one,0
Moving product across the border this weekend,1
"Can ship stash overnight, encrypted payments only",1
Discreet crystal delivery to your doorstep,1
"Wholesale goods available, bulk discounts",1
Need advice on buying a new camera for college,0
Had an amazing pizza at the new cafe downtown,0
Moving pack across the border this weekend,1
Anyone recommend a good camera for science?,0
"Need white ASAP, anyone near the north side can deliver?",1
The weather in the east side has been beautiful lately,0
Anyone recommend a good watch for science?,0
Connect me with your pack supplier in the east side,1
"Got white available for pickup, DM for prices",1
Got a package of crystal ready for the drop,1
Looking to score some stuff tonight in the west end,1
The weather in the bay area has been beautiful lately,0
Connect me with your white supplier in the east side,1
Found a great deal on a used laptop locally,0
Looking for study partners for math exam next week,0
Looking for study partners for math exam next week,0
"New shipment of green landed, first come first served",1
Got a package of white ready for the drop,1
"Reliable white source, never been caught",1
Planning a road trip to the bay area next month,0
Connect me with your goods supplier in uptown,1
"Fresh batch of crystal just arrived, hit me up",1
Looking for study partners for art exam next week,0
Volunteering at the local school this Saturday,0
Anyone recommend a good watch for science?,0
"Price drop on stuff, limited stock available",1
"Can ship green overnight, encrypted payments only",1
Looking to score some goods tonight in uptown,1
My new watch is so much better than the old one,0
Anyone want to join a art study group?,0
Meeting the plug for white at the usual spot,1
"Started learning history online, really enjoying it",0
"Price drop on green, limited stock available",1
"Started learning cooking online, really enjoying it",0
"Got the purest product in downtown, no middleman",1
"Got the purest crystal in uptown, no middleman",1
"Price drop on white, limited stock available",1
"Fresh batch of powder just arrived, hit me up",1
"Started learning photography online, really enjoying it",0
Need advice on buying a new backpack for college,0
Meeting the plug for white at the usual spot,1
"Reliable goods source, never been caught",1
"Cooking burger for dinner tonight, easy recipe",0
Moving powder across the border this weekend,1
"Running low on powder, need a new connect",1
My new tablet is so much better than the old one,0
"My stuff guy just re-upped, quality stuff",1
Looking for a plug to get some pills delivered tonight,1
Planning a road trip to the east side next month,0
"Just moved to the north side, looking for friends",0
green supply chain ready for distribution,1
"Cooking pizza for dinner tonight, easy recipe",0
The weather in the east side has been beautiful lately,0
Just finished reading a great bicycle about cooking,0
Discreet stash delivery to your doorstep,1
Going to the museum this weekend with family,0
Connect me with your product supplier in the suburbs,1
"Running low on white, need a new connect",1
"My pack guy just re-upped, quality stuff",1
Going to the cafe this weekend with family,0
My new phone is so much better than the old one,0
My guitar arrived today and it works perfectly,0
Discreet pack delivery to your doorstep,1
Need advice on buying a new textbook for college,0
"Reliable green source, never been caught",1
Anyone recommend a good backpack for coding?,0
Anyone recommend a good watch for cooking?,0
Volunteering at the local church this Saturday,0
Planning a road trip to the bay area next month,0
"My stash guy just re-upped, quality stuff",1
"Cooking burger for dinner tonight, easy recipe",0
"My pack guy just re-upped, quality stuff",1
"Can ship stuff overnight, encrypted payments only",1
"My product guy just re-upped, quality stuff",1
Got a package of pills ready for the drop,1
Found a great deal on a used bicycle locally,0
Anyone want to join a science study group?,0
"Price drop on goods, limited stock available",1
"Reliable pack source, never been caught",1
"My powder guy just re-upped, quality stuff",1
"My goods guy just re-upped, quality stuff",1
Found a great deal on a used tablet locally,0
Looking to score some stuff tonight in the bay area,1
Moving white across the border this weekend,1
"Can ship green overnight, encrypted payments only",1
"Selling premium crystal, fast delivery guaranteed",1
"Reliable pills source, never been caught",1
"Selling premium pack, fast delivery guaranteed",1
Planning a road trip to midtown next month,0
Anyone recommend a good bicycle for photography?,0
"Started learning math online, really enjoying it",0
"Started learning history online, really enjoying it",0
"Need goods ASAP, anyone near the west end can deliver?",1
Working on a science project for my class,0
Discreet stash delivery to your doorstep,1
"My stuff guy just re-upped, quality stuff",1
"Need pack ASAP, anyone near the east side can deliver?",1
"Need powder ASAP, anyone near uptown can deliver?",1
"Got stash available for pickup, DM for prices",1
Just finished reading a great backpack about fitness,0
"Cooking pizza for dinner tonight, easy recipe",0
My bicycle arrived today and it works perfectly,0
My new headphones is so much better than the old one,0
"Price drop on stash, limited stock available",1
Found a great deal on a used guitar locally,0
Need advice on buying a new headphones for college,0
"Fresh batch of pills just arrived, hit me up",1
Anyone recommend a good guitar for cooking?,0
Volunteering at the local library this Saturday,0
My watch arrived today and it works perfectly,0
Discreet white delivery to your doorstep,1
"Selling premium pills, fast delivery guaranteed",1
"Selling my old tablet on marketplace, barely used",0
My new backpack is so much better than the old one,0
"Reliable powder source, never been caught",1
Anyone recommend a good bicycle for fitness?,0
Working on a music project for my class,0
Looking for study partners for photography exam next week,0
My laptop arrived today and it works perfectly,0
The weather in the west end has been beautiful lately,0
Connect me with your goods supplier in uptown,1
"Need stash ASAP, anyone near midtown can deliver?",1
The weather in the suburbs has been beautiful lately,0
My new watch is so much better than the old one,0
Moving stash across the border this weekend,1
"Price drop on powder, limited stock available",1
Going to the beach this weekend with family,0
Looking for study partners for art exam next week,0
Going to the park this weekend with family,0
Had an amazing sandwich at the new park downtown,0
Got a package of product ready for the drop,1
Discreet stash delivery to your doorstep,1
Just finished reading a great phone about music,0
"Just moved to downtown, looking for friends",0
"Just moved to the suburbs, looking for friends",0
Working on a music project for my class,0
Planning a road trip to the suburbs next month,0
Going to the gym this weekend with family,0
Got a package of stuff ready for the drop,1
Going to the beach this weekend with family,0
Moving powder across the border this weekend,1
"Just moved to the suburbs, looking for friends",0
The weather in midtown has been beautiful lately,0
Got a package of product ready for the drop,1
"Selling my old bicycle on marketplace, barely used",0
Looking to score some product tonight in downtown,1
"Can ship pack overnight, encrypted payments only",1
"Started learning coding online, really enjoying it",0
"Selling premium white, fast delivery guaranteed",1
"Got the purest white in the suburbs, no middleman",1
"Got the purest pills in the bay area, no middleman",1
Working on a fitness project for my class,0
pills supply chain ready for distribution,1
Anyone recommend a good guitar for machine learning?,0
Planning a road trip to the east side next month,0
Meeting the plug for white at the usual spot,1
Connect me with your product supplier in uptown,1
"Need crystal ASAP, anyone near midtown can deliver?",1
"Selling my old guitar on marketplace, barely used",0
"Best sushi I have ever had, totally worth it",0
"Best curry I have ever had, totally worth it",0
product supply chain ready for distribution,1
Planning a road trip to the bay area next month,0
Meeting the plug for white at the usual spot,1
My bicycle arrived today and it works perfectly,0
Going to the gym this weekend with family,0
"Can ship goods overnight, encrypted payments only",1
"New shipment of goods landed, first come first served",1
"Running low on product, need a new connect",1
"Need pack ASAP, anyone near downtown can deliver?",1
Attended a fitness workshop and learned so much,0
Anyone want to join a fitness study group?,0
My new headphones is so much better than the old one,0
"Wholesale pills available, bulk discounts",1
Attended a fitness workshop and learned so much,0
"New shipment of pills landed, first come first served",1
Got a package of pills ready for the drop,1
Volunteering at the local school this Saturday,0
"Running low on pack, need a new connect",1
Planning a road trip to uptown next month,0
"Cooking pasta for dinner tonight, easy recipe",0
"Price drop on white, limited stock available",1
"Selling premium powder, fast delivery guaranteed",1
"Can ship stuff overnight, encrypted payments only",1
Found a great deal on a used tablet locally,0
"Reliable pills source, never been caught",1
"Selling premium crystal, fast delivery guaranteed",1
Anyone want to join a art study group?,0
Connect me with your pack supplier in the suburbs,1
"Got stuff available for pickup, DM for prices",1
"Need white ASAP, anyone near uptown can deliver?",1
pack supply chain ready for distribution,1
Anyone recommend a good camera for history?,0
"Need powder ASAP, anyone near midtown can deliver?",1
"My powder guy just re-upped, quality stuff",1
Going to the theater this weekend with family,0
"Best soup I have ever had, totally worth it",0
"Cooking curry for dinner tonight, easy recipe",0
"Started learning photography online, really enjoying it",0
The weather in the bay area has been beautiful lately,0
"Selling premium product, fast delivery guaranteed",1
Had an amazing sushi at the new park downtown,0
Planning a road trip to downtown next month,0
"Got that 🍃🍃🍃 ready, DM me for prices",1
"🔌 got the best ❄️ in town, hit me up",1
"Fresh 💊💊 just landed, first come first served",1
"Looking for a 🔌 with good 🍃, need it tonight",1
"🔥🔥🔥 quality ❄️ available, fast delivery ⚡",1
"Got 📦 of 💊 ready for pickup, be discreet 🤫",1
"💉💉 premium stuff, pure and uncut, DM only",1
"Who got the 🍄🍄? Need a plug ASAP 🔌",1
"Moving 🍃 across state lines this weekend 📦",1
"💰💰 for whoever can deliver ❄️ to the west side",1
"🔌🔌 new connect just re-upped on 💊, quality stuff",1
"🤫🤫 discreet delivery of 🍃 to your door ⚡",1
"Got that 🔥 ❄️❄️, purest in the city no cap",1
"📦📦 shipment of 💊 just arrived, limited stock",1
"Need a 🔌 for some 🍄, anyone in midtown?",1
"💵💵 cash only for this ❄️, meet at the usual spot",1
"🍃 supply chain ready, bulk 📦 discounts available",1
"💊💊💊 wholesale prices, encrypted payments only 🤫",1
"My 🔌 just got the best 🍃 I've ever seen 🔥",1
"⚡ fast delivery on all 💊, DM for menu 📋",1
"Got that 🍄🍄🍄 magic, hit the line for prices 💰",1
"❄️ straight from the source, no middleman 🔥🔥",1
"🔌 plugged in with the best 💉 in the area",1
"📦 dropping off the 🍃 tonight, be ready 🤫",1
"🔥 premium ❄️ available rn, won't last long ⚡",1
"Looking to score some 💊 tonight, who's around? 🔌",1
"My guy got 🍃🍃 and 🍄, best prices in town 💰",1
"💊 party pack ready, enough for the whole crew 🔥",1
"🤫🤫 keep it low key, got ❄️ for the weekend",1
"New batch of 🍃 just dropped, fire quality 🔥🔥🔥",1
"Running low on 💊, need a new 🔌 connect ASAP",1
"📦 shipped the ❄️ overnight, tracking sent via DM 🤫",1
"Who needs 🍄? Got plenty, prices are right 💰💰",1
"💉 top shelf product, tested and verified 🔥",1
"🔌 available 24/7, got 🍃 💊 and ❄️ on deck",1
"Got the plug on some 🔥🔥 ❄️, meet at the spot",1
"📦📦 bulk order of 💊 coming in this Friday",1
"🍃🍃 organic and potent, DM for delivery 🤫⚡",1
"Need to re-up on ❄️, anyone got a reliable 🔌?",1
"🔥 grade A 💊💊, won't find better anywhere 💰",1
"💵 only serious buyers for this ❄️ ❄️, no games 🤫",1
"🍄🍄 trip supplies ready, safe and discreet 📦",1
"Moving 💊 through the east side tonight, 🤫 only",1
"Got 🍃 edibles and concentrates, full menu available 🔌",1
"❄️❄️❄️ just cooked up a fresh batch 🔥📦",1
"🔌 holding the best 💊 in the north side rn",1
"Need 🍃 delivered ASAP ⚡, anyone near downtown? 💰",1
"💊💊 molly and xans available, DM for prices 🤫",1
"📦 care package with 🍄 and 🍃 ready to go 🔥",1
"❄️ ice cold product, pure as it gets 💰💰💰",1
"Had an amazing day at the park 🌳☀️😊",0
"Love this sunny weather ☀️🌤️ perfect for a walk",0
"Made some delicious pasta tonight 🍝😋👨‍🍳",0
"Just adopted a new puppy 🐶❤️ so adorable!",0
"Happy birthday to my best friend 🎂🎉🎈",0
"Studying hard for finals 📚💪 wish me luck!",0
"Beautiful sunset at the beach today 🌅🏖️😍",0
"My garden is looking amazing this spring 🌸🌷🌻",0
"Going hiking this weekend ⛰️🥾 can't wait!",0
"Coffee and a good book ☕📖 perfect morning",0
"Family reunion was so much fun 👨‍👩‍👧‍👦🎊❤️",0
"Starting my fitness journey today 💪🏋️‍♂️🏃‍♂️",0
"Cooked a new recipe and it turned out great 👩‍🍳🍲😊",0
"Movie night with friends 🎬🍿 such a good time",0
"My new plant is growing so well 🌱🪴💚",0
"Love my morning yoga routine 🧘‍♀️☀️✨",0
"Road trip with the family this weekend 🚗🗺️🎶",0
"Just finished a great workout 💪🔥😤 feeling strong",0
"Baking cookies for the school fundraiser 🍪🎄❤️",0
"Excited for the concert tonight 🎵🎶🎤",0
"Watching the stars tonight ⭐🌙 so peaceful",0
"My cat is being so cute right now 🐱😻❤️",0
"Volunteering at the food bank today 🤝🥫💛",0
"Enjoying a nice cup of tea 🍵☕ relaxing evening",0
"Just got back from a great swim 🏊‍♂️🌊💙",0
"Making art all day 🎨🖌️ feeling creative",0
"Game night with the squad 🎲🃏😂",0
"Beautiful flowers blooming in the garden 🌺🌼🌸",0
"Graduation day! 🎓🎉 so proud of myself",0
"Celebrating our anniversary 💍❤️🥂 blessed",0
"Learning guitar has been so rewarding 🎸🎵😊",0
"Snow day means hot chocolate ❄️☕🧣",0
"Pizza party at work today 🍕🎉 best Friday ever",0
"Sunrise jog was magical this morning 🌅🏃‍♀️✨",0
"Teaching my kid to ride a bike 🚲👦 proud parent",0
"Homemade sushi night 🍣🥢 turned out amazing",0
"Building a treehouse with dad 🏠🌳🔨 fun project",0
"Farmers market haul 🥬🍎🥕 eating healthy this week",0
"Dance class was so fun tonight 💃🕺🎶",0
"Reading in the park 📖🌳☀️ perfect afternoon",0
"Camping trip was unforgettable 🏕️🔥⭐",0
"New sneakers just arrived 👟🔥 love them!",0
"Painted the living room today 🎨🏠 looks great",0
"Beach volleyball with friends 🏐🏖️☀️ awesome day",0
"Trying pottery for the first time 🏺🎨 so cool",0
"Made friendship bracelets 📿❤️ nostalgic vibes",0
"Smoothie bowl for breakfast 🥣🍓🫐 so healthy",0
"Fireworks were incredible last night 🎆🎇✨",0
"Knitting a scarf for winter 🧣🧶❄️ cozy project",0
"Museum visit was so inspiring 🏛️🎨🖼️",0
